#{"t_start": 1750910061.867556, "env_id": "None"}
r,l,t
-25.510516,3,42.887333
99.533542,4,42.954133
-43.832679,3,43.004118
-84.467124,3,43.03736
52.184332,4,43.111983
-61.716525,4,43.170718
112.827818,4,43.231773
-76.444521,3,43.270598
-33.799719,4,43.336264
-121.799911,4,43.387691
-119.521148,4,43.456864
77.027305,4,43.515803
-124.102417,4,43.571755
-112.898822,4,43.620933
62.88228,4,43.695131
-50.869453,4,43.754678
27.701072,3,43.788203
19.910561,4,43.854377
-105.336589,4,43.922466
196.05038,4,43.979213
-83.02147,4,44.054411
28.68435,4,44.137846
19.974541,4,44.200976
135.403996,4,44.258432
92.129645,3,44.30228
-32.542669,3,44.342847
-16.764693,4,44.404025
-67.760175,4,44.470838
82.527252,3,44.504124
-65.436833,4,44.570964
-133.301597,4,44.638241
-52.382089,4,44.694551
98.988604,3,44.736304
-48.749421,3,44.775656
-137.262514,4,44.82078
6.977734,3,44.870174
-157.282768,4,44.904102
86.407481,4,44.904102
27.661045,3,44.904102
95.297312,3,44.91949
-13.658119,4,44.921672
-228.526114,4,44.971056
-185.950886,4,45.037579
135.440098,4,45.10604
-39.004414,4,45.165876
70.407663,4,45.229213
-128.817908,4,45.287519
-78.118229,4,45.354837
-91.072648,4,45.418196
-8.42538,3,45.456146
98.034923,4,45.520874
67.301266,4,45.581848
140.274803,4,45.636347
81.344075,4,45.736838
-38.105354,4,45.804378
46.395335,4,45.86909
12.017248,4,45.927655
17.737824,4,45.984268
-26.306339,4,46.037974
80.053053,3,46.087432
-8.402291,4,46.158894
90.683462,4,46.217947
92.292434,3,46.259864
-29.45475,4,46.304199
165.646662,4,46.380506
80.1015,3,46.4208
-61.224794,4,46.472924
101.333353,3,46.520839
-29.885745,4,46.595473
123.702972,4,46.654195
151.803366,4,46.704264
162.962724,4,46.771852
25.623934,3,46.803286
105.398373,4,46.874669
-174.775016,4,46.937641
0.109324,4,46.996197
54.846953,4,47.052231
-23.657682,4,47.110167
58.101821,4,47.169989
122.792724,4,47.220945
27.995913,4,47.287505
30.217584,4,47.350257
-72.829394,4,47.404435
186.288204,4,47.475814
65.657364,3,47.522247
84.987963,3,47.566507
7.397778,3,47.609806
-199.088964,4,47.675839
-86.062201,3,47.704089
12.260703,4,47.774899
-83.143983,4,47.821325
65.266644,4,47.896366
-41.760719,3,47.937457
57.630786,4,48.001663
47.603457,4,48.061922
-116.404001,4,48.128708
114.04763,4,48.185782
23.709669,3,48.220991
11.320057,4,48.287759
203.688769,4,48.353962
-15.113796,4,48.404368
85.123763,3,48.456964
74.981388,4,48.520867
3.55486,3,48.562392
-62.881746,4,48.603398
-42.584775,4,48.681279
-89.654725,4,48.737896
93.737968,3,48.787605
-50.442839,4,48.850641
13.13662,4,48.914246
35.200104,4,48.973209
78.34641,4,49.041332
62.847599,4,49.099323
-107.156661,4,49.15922
70.805406,4,49.220875
53.028616,4,49.278578
31.249199,4,49.32095
-53.301763,3,49.370523
-199.768853,4,49.437678
-58.460411,3,49.48635
-16.840061,4,49.546461
-38.657841,4,49.604133
48.963231,4,49.665226
-16.052641,4,49.704181
87.124811,4,49.779999
141.007062,4,49.840527
-116.692233,4,49.90433
-82.103635,4,49.969223
95.277667,3,50.004229
-190.551198,4,50.070006
-32.114207,4,50.120865
109.766682,4,50.191712
48.861966,3,50.220151
-166.785359,4,50.292414
-4.787241,4,50.354281
-27.533987,3,50.404126
-31.497893,4,50.454324
-124.000712,4,50.521903
-76.515443,4,50.571209
-87.729957,4,50.643709
-80.345503,4,50.702343
-38.025708,4,50.757385
-152.720002,4,50.804502
-176.865625,4,50.919456
65.685044,3,50.970028
175.690235,4,51.02707
43.845961,4,51.087636
-62.651998,3,51.131042
-21.78793,4,51.191645
-9.646715,4,51.253322
125.963188,4,51.319769
-103.068341,4,51.375047
-11.997447,4,51.434152
77.329495,3,51.470974
80.105621,4,51.537632
23.772477,3,51.570767
-138.656924,4,51.635757
-55.666689,4,51.693681
-141.494601,4,51.737834
81.520128,4,51.809363
129.805394,4,51.866996
70.19899,4,51.923985
-27.363784,4,51.992243
71.276448,4,52.048858
-10.302417,4,52.111421
-18.858942,4,52.16659
122.0218,4,52.221435
-109.505946,4,52.290762
72.443506,4,52.351615
-55.619172,4,52.411397
15.183162,4,52.471031
32.821315,3,52.504337
-92.534625,4,52.574553
-64.831511,4,52.635836
-63.290487,4,52.687691
-194.298645,4,52.762147
51.429803,3,52.807167
-176.996425,4,52.864234
21.01819,4,52.921539
104.891994,4,52.971215
-35.727955,4,53.03774
-71.672602,4,53.097734
-166.527533,4,53.154759
52.015655,4,53.231128
67.632026,4,53.28896
-31.963756,4,53.348625
80.451429,3,53.392226
-189.406652,4,53.453383
-189.017667,4,53.515198
-163.528391,4,53.571466
-160.417605,4,53.620849
33.4849,3,53.673769
8.698926,4,53.721114
-18.7275,4,53.790576
-110.520738,4,53.85458
-70.060024,3,53.887828
-92.620454,4,53.96535
-103.599348,4,54.02586
27.573629,4,54.087828
58.797813,4,54.153325
-39.674127,4,54.217494
76.543967,4,54.280842
-156.478141,4,54.338039
-7.050881,4,54.403406
103.440553,4,54.456224
-96.862897,4,54.519232
-58.328921,4,54.571146
62.330656,4,54.645752
131.22276,4,54.704542
85.76337,4,54.761218
-88.228019,4,54.825081
