#{"t_start": 1749825858.1344798, "env_id": "None"}
r,l,t
111.488459,4,43.071094
-37.597577,4,43.136277
2.68307,4,43.203338
36.297245,3,43.240458
94.938685,4,43.30551
12.005749,4,43.379938
114.141469,4,43.440467
-17.907282,4,43.500768
-13.118907,4,43.565053
100.645882,4,43.632128
112.081149,4,43.694572
-4.192414,4,43.757488
-39.125687,4,43.810858
99.146329,4,43.878048
-36.570673,4,43.937815
-14.339852,4,43.997464
32.539357,4,44.065885
41.407344,4,44.126143
-30.850545,4,44.186182
-64.409009,4,44.24382
4.010377,4,44.310816
-76.863355,4,44.373113
-79.99541,4,44.425942
53.945853,3,44.477658
17.016511,4,44.53787
148.403303,4,44.606543
-74.896205,4,44.662189
-12.736178,4,44.719624
-44.432971,4,44.787754
131.938057,4,44.851508
63.815861,3,44.887807
29.51634,4,44.952618
150.439533,4,45.019806
85.01188,4,45.077157
30.886211,4,45.136773
138.446272,4,45.193531
71.434913,3,45.238004
186.964454,4,45.30153
133.287091,4,45.362224
61.511714,3,45.404517
47.761272,3,45.454977
68.582412,4,45.529256
34.562805,3,45.576768
62.280311,4,45.638825
-44.58074,4,45.704432
64.7367,3,45.737832
32.111508,3,45.793659
50.717094,4,45.85621
37.026394,4,45.919835
61.210063,4,46.018756
-80.22435,4,46.084877
43.928033,4,46.143562
58.035576,4,46.210541
69.942331,4,46.277274
156.407021,4,46.344718
43.212731,3,46.396496
-26.071125,4,46.472218
71.406899,4,46.503761
33.501025,3,46.503761
79.723648,4,46.503761
19.302726,4,46.503761
11.007007,4,46.515669
104.422703,4,46.570639
-76.901441,4,46.63872
-49.882809,4,46.707417
63.586668,4,46.786757
28.103527,4,46.850572
-23.118224,4,46.909254
17.351054,4,46.973009
91.019575,4,47.021145
38.636295,4,47.101736
54.41526,4,47.17406
10.27327,4,47.238718
168.387201,4,47.304515
50.269774,3,47.338007
42.175771,3,47.387245
-38.714202,4,47.454557
72.509309,3,47.493598
121.166502,4,47.562718
5.116047,4,47.623105
164.238168,4,47.693695
-56.121549,4,47.75457
171.198003,4,47.828512
78.599373,3,47.871085
-46.373312,4,47.931936
44.842359,4,47.988621
26.956263,4,48.062663
44.254548,3,48.106155
143.367865,4,48.168696
68.412418,4,48.236573
-48.111608,4,48.297735
5.163765,4,48.360577
11.040776,4,48.427156
77.546606,3,48.487831
38.696663,4,48.548677
-7.329054,4,48.613438
68.775773,3,48.66726
-7.171574,4,48.738085
67.924228,4,48.814471
97.478256,4,48.877326
-50.353826,4,48.93685
63.124424,3,48.97778
-55.232207,4,49.054506
62.367828,4,49.12024
54.890695,3,49.154598
19.646312,3,49.209749
-32.751719,4,49.275378
107.303634,4,49.329119
65.563627,4,49.38206
60.309252,4,49.454695
61.607444,3,49.487934
21.445856,4,49.56628
77.229747,4,49.643026
26.84095,3,49.688337
55.294324,4,49.759422
102.806449,4,49.822135
143.659082,4,49.877933
113.977811,4,49.938235
111.435913,4,50.001676
33.776941,4,50.064764
42.208273,4,50.127815
79.907362,4,50.188488
-24.603741,4,50.254751
75.612058,3,50.321925
31.4437,3,50.353995
-7.260182,4,50.421806
-4.51473,4,50.487045
142.77717,4,50.547062
-24.6805,4,50.609902
-27.134704,4,50.672088
-95.659573,4,50.729097
106.7217,4,50.793635
68.2806,4,50.855612
132.005204,4,50.918257
56.999233,3,51.009514
55.618839,4,51.075357
-46.230223,4,51.131061
77.305529,4,51.194653
93.563941,4,51.258831
-18.102146,4,51.32008
8.935805,4,51.381066
23.979956,4,51.442387
46.106499,3,51.487082
9.793667,4,51.547906
76.797996,4,51.609682
2.378699,4,51.671288
141.15244,4,51.736517
77.822136,4,51.796907
40.246851,4,51.852754
