#{"t_start": 1749829741.4038556, "env_id": "None"}
r,l,t
50.185882,4,42.551666
169.008036,4,42.618196
37.325116,4,42.677268
148.168864,4,42.727273
35.514415,4,42.790019
0.260771,4,42.858279
-40.297911,4,42.919121
103.032297,4,42.984803
103.799284,4,43.066087
-83.772073,4,43.139892
27.367568,3,43.191952
42.264931,3,43.238855
45.55402,4,43.300695
189.772572,4,43.3675
132.210557,4,43.428074
18.181546,4,43.485908
69.654856,3,43.525428
132.339146,4,43.584101
-27.380927,4,43.654579
50.48721,3,43.724877
19.874736,3,43.787651
-33.715167,4,43.854023
138.813973,4,43.912604
97.017886,4,43.973169
51.699521,4,44.03794
4.653696,4,44.095873
31.708865,4,44.150818
53.345401,3,44.201603
61.106676,3,44.238916
8.27236,3,44.286209
68.607272,4,44.334136
53.742517,4,44.407639
82.790593,4,44.467493
36.762869,4,44.535934
31.973045,3,44.582593
-41.074928,4,44.644887
56.948641,3,44.689466
-12.273083,4,44.750806
122.133843,4,44.81556
12.318963,4,44.871156
52.506122,3,44.91775
6.340796,4,44.950991
-5.181179,3,44.950991
-49.20868,4,44.950991
118.177345,4,44.962022
16.990782,4,44.965019
28.449978,3,45.018038
137.201647,4,45.067682
107.433923,4,45.141344
56.131177,4,45.200813
67.418777,4,45.261673
76.601714,3,45.30077
-29.47152,4,45.371311
32.019947,4,45.434163
196.438736,4,45.496814
2.454009,4,45.550999
107.364656,4,45.600903
-2.797172,4,45.667483
-23.480881,4,45.73975
86.379956,4,45.796714
58.170893,4,45.858668
37.93754,4,45.917429
14.89017,4,45.982904
2.232519,4,46.046057
120.289634,4,46.099332
170.722665,4,46.166113
147.034142,4,46.231068
91.429391,4,46.290745
191.784761,4,46.352418
63.94017,4,46.416288
22.434572,4,46.478316
-36.736316,4,46.53294
30.959844,4,46.586024
168.448088,4,46.649381
31.783734,4,46.711287
20.423693,4,46.771218
-30.577942,4,46.817589
58.368578,3,46.872325
2.760288,4,46.932828
-46.13901,4,46.990917
10.441449,4,47.048091
-55.076526,4,47.102197
-18.119171,3,47.151086
15.442599,4,47.220127
-14.627924,4,47.282814
91.832969,4,47.349467
97.393263,4,47.407741
29.191885,3,47.449422
190.216113,4,47.51156
32.109759,3,47.557437
82.887382,4,47.622399
75.533916,4,47.673169
73.25343,4,47.734923
-86.95311,4,47.792356
43.222508,4,47.85859
22.754431,3,47.900881
217.169514,4,47.963646
47.270461,4,48.018064
-4.925481,4,48.090817
28.908679,4,48.151785
-44.990651,4,48.208582
6.446317,3,48.256824
53.664568,3,48.301555
175.375062,4,48.360736
177.229145,4,48.40063
5.916274,4,48.484365
7.80703,4,48.554696
66.652518,3,48.605685
60.189246,3,48.653447
56.20747,4,48.76152
-70.252493,4,48.830347
114.532575,4,48.904885
17.051544,4,48.96825
133.103042,4,49.034336
-34.053268,4,49.099723
-15.94275,4,49.162732
-42.975232,4,49.233947
-37.007723,4,49.301038
187.349326,4,49.367521
38.976179,3,49.40076
11.463642,4,49.46913
-0.404485,4,49.533886
82.562515,4,49.58411
104.533614,4,49.644986
-73.677435,4,49.715694
5.840303,4,49.784393
152.53951,4,49.848171
164.831116,4,49.905815
-36.375919,4,49.964577
50.513763,3,50.006569
-47.331956,4,50.067703
56.692417,4,50.13896
15.145948,4,50.202688
123.311772,4,50.26774
84.353275,4,50.348648
-33.954516,4,50.411714
4.467176,4,50.467297
15.15859,4,50.518062
62.299851,3,50.567372
-77.151253,4,50.631486
118.238613,4,50.693119
-42.733183,4,50.750951
49.830927,3,50.804669
217.142459,4,50.862001
9.447676,4,50.919568
94.382662,4,50.984414
50.314096,4,51.05579
10.940751,4,51.122517
40.824747,4,51.186204
-15.283167,4,51.251025
143.703606,4,51.312765
-41.789813,4,51.367687
18.349389,4,51.436327
13.298646,4,51.48456
137.311171,4,51.562923
-88.168493,4,51.628367
28.281753,4,51.667695
77.586009,4,51.734622
49.97913,3,51.784397
90.638515,4,51.844306
-31.24704,4,51.906558
16.233518,3,51.951687
19.747941,4,52.026489
105.689855,4,52.089302
94.307601,4,52.149899
29.84729,4,52.201288
-54.750035,4,52.271379
-45.603003,4,52.331644
114.027248,4,52.389091
40.03998,4,52.453923
54.956065,3,52.48429
-2.408865,4,52.551581
65.817303,3,52.60056
-5.929957,4,52.651388
-18.80063,4,52.721607
-35.469534,4,52.780984
116.735207,4,52.842222
25.431368,3,52.887587
31.846792,3,52.934689
80.383002,4,53.000738
80.223738,4,53.060953
18.099396,4,53.11841
-18.904488,4,53.188324
109.107527,4,53.249092
58.633427,4,53.305008
113.43014,4,53.351501
9.596085,3,53.403807
82.909883,4,53.467588
50.043432,3,53.502745
161.907296,4,53.568211
-96.818938,4,53.639234
-76.26091,4,53.696778
80.964438,4,53.759706
9.132677,4,53.818074
53.327189,4,53.867724
40.321247,3,53.91696
160.585277,4,54.019218
-15.512107,4,54.084891
197.119862,4,54.150953
56.893088,3,54.199401
-46.952711,4,54.254739
111.770837,4,54.31637
34.469344,4,54.376709
33.757505,4,54.438333
89.331724,4,54.499013
139.177472,4,54.551375
53.965952,4,54.617959
32.994151,3,54.670722
-26.814082,4,54.732625
131.422175,4,54.785164
121.728826,4,54.861955
25.736408,3,54.905737
132.605323,4,54.968607
60.334835,4,55.01809
48.235486,3,55.067785
178.114137,4,55.140487
167.87813,4,55.204358
85.069377,4,55.267828
-35.949142,4,55.32144
-28.677897,4,55.386372
64.052725,3,55.416986
146.855149,4,55.484895
46.812518,4,55.553791
94.884854,4,55.608938
33.380286,4,55.677535
138.222764,4,55.740844
55.599521,3,55.784777
118.801002,4,55.84996
34.602306,4,55.913118
-44.325707,4,55.978959
-2.448645,4,56.037144
21.011099,4,56.094686
61.127931,4,56.154831
-17.465606,4,56.21747
45.080353,4,56.276484
80.341709,4,56.33823
31.848235,3,56.384587
40.390315,4,56.451732
-14.092291,4,56.510128
-14.151327,4,56.569752
120.532371,4,56.626002
40.227603,3,56.675486
197.604106,4,56.73536
-10.367085,4,56.796468
-77.012208,4,56.862915
82.276827,4,56.923434
159.4461,4,56.98937
65.430971,3,57.035331
113.218112,4,57.103063
200.341962,4,57.186733
5.913739,4,57.253734
-33.086239,4,57.318287
-7.876585,4,57.389296
-29.31218,4,57.483446
53.415107,4,57.556034
48.968055,4,57.616718
45.185832,3,57.651192
-59.031042,4,57.718366
62.209153,4,57.79812
32.003117,3,57.83463
85.787016,4,57.90898
196.200964,4,57.967874
40.369344,4,58.035743
36.103345,3,58.067138
100.633323,4,58.141472
-52.795642,4,58.20135
-22.39076,4,58.27082
46.902431,4,58.318183
-22.455639,4,58.396355
35.358159,3,58.451818
196.079192,4,58.526592
45.230503,3,58.567934
-92.989002,4,58.634586
-27.945301,4,58.701313
135.989061,4,58.759916
133.40194,4,58.82268
98.364885,4,58.88278
42.652204,4,58.934778
170.941041,4,59.008212
-95.454619,4,59.077805
-61.568278,4,59.145414
32.696416,4,59.218082
109.505997,4,59.279191
101.198805,4,59.342561
145.03495,4,59.449207
-75.921771,4,59.500653
131.456389,4,59.57892
84.6723,4,59.641594
64.065403,4,59.701777
128.551527,4,59.754106
39.490039,3,59.805906
143.786558,4,59.865223
-48.582761,4,59.935362
94.968397,4,60.009122
-40.65375,4,60.078854
52.829391,4,60.130749
88.410129,4,60.194389
-1.001327,4,60.252983
-42.2081,4,60.327855
75.250856,4,60.39337
-0.041049,4,60.454226
40.164317,4,60.501796
-27.283729,4,60.57793
-15.488976,4,60.640371
188.061992,4,60.684695
47.4904,3,60.754463
22.138352,4,60.754463
6.842444,4,60.754463
-34.639621,4,60.767104
35.254743,4,60.770925
118.779216,4,60.770925
44.652203,4,60.834849
-35.224492,4,60.910206
40.447061,4,60.969733
173.083416,4,61.039881
18.195054,4,61.098632
170.899396,4,61.159266
123.777514,4,61.21789
-28.796998,4,61.268719
159.52134,4,61.339651
51.099749,4,61.397841
54.934942,4,61.456028
-51.09336,4,61.52187
102.607399,4,61.578962
-76.332168,4,61.639549
32.696703,4,61.695264
18.58187,4,61.757424
-84.274245,4,61.827008
158.454091,4,61.887333
68.0017,4,61.934804
91.599462,4,62.001831
125.723404,4,62.073993
181.981135,4,62.134917
-29.028629,4,62.195557
67.451691,4,62.259215
145.719564,4,62.317683
-44.519953,4,62.368054
103.005285,4,62.438606
-22.995918,4,62.485291
26.396205,4,62.557235
-3.733238,4,62.614101
18.843594,3,62.651402
